fdc_id,description,protein_g
323793,"Egg, white, dried",79.9
1104705,"Flour, soy, defatted",51.1
329490,"Egg, whole, dried",48.1
749420,"Pork, cured, bacon, cooked, restaurant",40.9
1104766,"Flour, soy, full-fat",38.6
329716,"Egg, yolk, dried",34.2
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",32.1
335969,"Beans, Dry, Great Northern, 446 (0% moisture)",31.6
335595,"Beans, Dry, Pinto, 468 (0% moisture)",30.8
335972,"Beans, Dry, Great Northern, 579 (0% moisture)",30.5
335052,"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 15, lowerchoice",30.4
2259795,"Cheese, parmesan, grated, refrigerated",30.13912
2515380,"Seeds, pumpkin seeds (pepitas), raw",29.9079
335054,"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 26, lowerchoice",29.9
325036,"Cheese, parmesan, grated",29.6
335505,"Beans, Dry, Pinto, 465 (0% moisture)",29.4
335978,"Beans, Dry, Great Northern, 581 (0% moisture)",29.4
335606,"Beans, Dry, Pinto, 787 (0% moisture)",29.4
335454,"Beans, Dry, Pinto, 11F-8114 (0% moisture)",29.2
334888,"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 10, select",29.1
